Especie	Individuo	Populacao	ALTURA	AF	DAP	DENMAD	Conteudo_agua_solo
A	1	Restinga	6.59	3.602	11.6	0.576	0.1635
A	2	Restinga	9.10	3.370	14.5	0.095	0.1534
A	3	Restinga	6.82	4.597	11.4	0.363	0.1635
A	4	Restinga	6.21	5.277	10.9	0.311	0.1475
A	5	Restinga	6.75	4.413	9.3	0.492	0.1217
A	6	Restinga	8.14	4.066	11.5	0.489	0.0880
A	7	Restinga	6.73	3.242	10.9	0.533	0.1256
A	8	Restinga	6.79	6.146	12.7	0.546	0.1552
A	9	Restinga	1.57	5.816	13.8	0.653	0.1309
A	10	Restinga	4.66	4.754	9.4	0.422	0.1172
A	11	Restinga	4.71	5.224	9.8	0.681	0.1652
A	12	Restinga	4.96	3.406	11.4	0.573	0.1444
A	13	Restinga	7.07	4.081	11.2	0.416	0.1483
A	14	Restinga	5.91	3.284	11.6	0.429	0.0743
A	15	Restinga	6.46	5.418	11.7	0.563	0.1057
A	16	Restinga	5.49	2.915	13.8	0.210	0.1081
A	17	Restinga	4.38	4.742	7.7	0.522	0.1770
A	18	Restinga	5.98	1.986	14.5	0.492	0.1336
A	19	Restinga	3.83	4.757	12.4	0.816	0.1774
A	20	Restinga	5.90	6.944	11.0	0.169	0.1780
A	21	Restinga	5.63	5.906	13.1	0.444	0.1671
A	22	Restinga	6.27	1.960	11.5	0.232	0.1415
A	23	Restinga	7.73	3.577	14.4	0.222	0.0953
A	24	Restinga	8.53	5.531	9.6	0.403	0.1168
A	25	Restinga	4.09	2.435	13.4	0.755	0.1163
A	26	MataAtlantica	9.33	5.364	24.8	0.162	0.2905
A	27	MataAtlantica	10.56	4.427	23.7	0.330	0.2838
A	28	MataAtlantica	9.17	8.050	24.0	0.233	0.2943
A	29	MataAtlantica	11.37	5.486	22.9	0.302	0.2503
A	30	MataAtlantica	8.53	7.038	24.9	0.226	0.3065
A	31	MataAtlantica	10.77	2.569	21.2	0.311	0.2623
A	32	MataAtlantica	10.67	9.511	22.2	0.283	0.2349
A	33	MataAtlantica	7.19	7.591	24.7	0.385	0.3020
A	34	MataAtlantica	10.51	3.711	23.6	0.146	0.2512
A	35	MataAtlantica	8.06	5.729	25.5	0.391	0.2893
