Obs	Parcela	Moita	Abundancia	Riqueza	Luz	Serapilheira	Temperatura
1	interior	1	5	2	353.2	164	34.4
2	interior	2	7	3	225.4	208	33.8
3	interior	3	3	1	415.9	122	34.7
4	interior	4	6	3	340.2	170	33.2
5	interior	5	8	4	157.8	240	32.9
6	interior	6	10	6	170.3	220	34.5
7	interior	7	6	2	200.4	284	34.1
8	interior	8	9	2	215.6	256	33.1
9	interior	9	7	4	242.1	198	33.6
10	interior	10	8	3	185.6	212	32.8
11	exterior	1	2	2	600.2	68	34.2
12	exterior	2	1	1	356.2	172	32.6
13	exterior	3	1	1	629.8	36	34.1
14	exterior	4	3	1	573.4	82	33.8
15	exterior	5	0	0	205.8	200	32.7
16	exterior	6	4	2	256.9	220	33.7
17	exterior	7	2	2	312.7	184	34.3
18	exterior	8	1	1	348.6	146	34.2
19	exterior	9	1	1	391.3	134	33.6
20	exterior	10	0	0	352.7	182	33.1
21	borda	1	0	0	650.3	6	37.1
22	borda	2	3	1	649.4	8	36.8
23	borda	3	1	1	638.7	12	36.1
24	borda	4	1	1	654.2	0	37.2
25	borda	5	2	1	641.3	8	35.8
26	borda	6	2	2	624.9	14	36.1
27	borda	7	3	2	662.8	4	35.9
28	borda	8	2	1	629.7	10	33.7
29	borda	9	3	2	653.3	0	34.9
30	borda	10	2	1	647.5	2	36.7
